央视,#genre#
TV5 MONDE,http://shuma004.chunfengyun.top:8080/live/9/hls.m3u8
PET CLUB,http://shuma004.chunfengyun.top:8080/live/81/hls.m3u8
FESTIVAL,http://shuma004.chunfengyun.top:8080/live/83/hls.m3u8
动漫2,http://shuma004.chunfengyun.top:8080/live/106/hls.m3u8
HakkaTV,http://shuma004.chunfengyun.top:8080/live/1/hls.m3u8
动漫,http://shuma004.chunfengyun.top:8080/live/105/hls.m3u8
nickjr,http://shuma004.chunfengyun.top:8080/live/22/hls.m3u8
CNBC,http://shuma004.chunfengyun.top:8080/live/102/hls.m3u8
居家,http://shuma004.chunfengyun.top:8080/live/26/hls.m3u8
GOOD2,http://shuma004.chunfengyun.top:8080/live/99/hls.m3u8
TiTV,http://shuma004.chunfengyun.top:8080/live/2/hls.m3u8
P3P-178,#genre#
东森经财台,p3p://173.208.176.178:19806/61468bd70005123dea7373f226636dba
中天新闻台,p3p://173.208.176.178:19806/613dba64000abeb1c801c02934bb45fc
纬来电影台,p3p://173.208.176.178:19806/62c860e50008ea96c1ae9a96599c6947
東森电影国,p3p://173.208.176.178:19806/62c103a5000b5a66a4eacca77822079a
龙华电影国,p3p://173.208.176.178:19806/621471310004d28d02d6aeb471c265ec
龙翔电影国,p3p://173.208.176.178:19806/60115453000a238d32a1418142be77f7
中天新闻台,p3p://173.208.176.178:19806/613dba64000abeb1c801c02934bb45fc
tvbs新闻台,p3p://173.208.176.178:19806/621858e3000e70ad1217c0700d576ad0
东森新闻台,p3p://108.181.32.169:34778/64251f9700046520ea5ce8b85b6c11da
三立新闻台,p3p://173.208.176.178:19806/6014c896000c7101401f67cc5477681b
三立-inews,p3p://173.208.176.178:19806/644f81c10003ba2367cad2610d3a2ab5
寰宇新闻台,p3p://173.208.176.178:19806/653cd4a900049a4206d258a92e941b10
寰宇闽南台,p3p://173.208.176.178:19806/612d7c11000c9faf888ebf9f3276784e
闽壹新闻台,p3p://173.208.176.178:19806/621dbb640001cb2b272027f74da62753
闽镜新闻台,p3p://173.208.176.178:19806/63ebd33c0003c437e26ae87279d061f1
年代新闻台,p3p://173.208.176.178:19806/5fe09fec000ac0127462c4ac6b1f16a3
华视新闻台,p3p://173.208.176.178:19806/632c706b0009d57248864b64705a59a0
台视新闻台,p3p://173.208.176.178:19806/62caf1dc000525b3cbb4de6e3c0e2af8
中视新闻台,p3p://173.208.176.178:19806/61ff2b9d0004cfe6bb9a99f71e1c4c92
民视新闻台,p3p://173.208.176.178:19806/602f1f4a000aa86fa700c49817387f81
民视闽南台,p3p://173.208.176.178:19806/6001ba8400051d89f5b151a63fa96419
民视第一台,p3p://173.208.176.178:19806/5fe0a665000c49bf747c0dbd57ec09a3
民视台湾台,p3p://173.208.176.178:19806/6388b888000de54e5f4c698049f16f53
民视旅游台,p3p://173.208.176.178:19806/61769f2d000d84d7a63c4df74f4f24c4
华视闽南台,p3p://173.208.176.178:19806/61eff95c000bcf35803ebfe7426e2914
中视闽南台,p3p://173.208.176.178:19806/621dab720008820a26e1e06b75653395
公视闽南台,p3p://173.208.176.178:19806/63ebf0b7000e7d27e2de13a9113e7096
台视闽南台,p3p://173.208.176.178:19806/612ee2240008f3db8e0578dc59406f9e
台视财经台,p3p://173.208.176.178:19806/6223b571000a13023e78ece5030b5b05
中视青采台,p3p://173.208.176.178:19806/621db1fb0006fbf526fb672712522a46
中视经典台,p3p://173.208.176.178:19806/621db24e000d4a9726fcacfd58c400a2
中天亚洲台,p3p://173.208.176.178:19806/5fe6fce400011e568d3deaf35a511da9
中天娱乐台,p3p://173.208.176.178:19806/5ffae39100029825dafa1d03520571ac
tvbs精彩台,p3p://173.208.176.178:19806/61efd0a100047e1a7f9fa38d29f5746d
tvbs欢乐台,p3p://173.208.176.178:19806/61e831a60008c7d761db13151abe16ae
tvbs-HD台,p3p://173.208.176.178:19806/612ee5ef000f06f58e144b6727ec3efb
三立台湾台,p3p://173.208.176.178:19806/5fe2947f000c58a57c0623474ae64e07
